index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total,height,weight,abilities,desc
1,bulbasaur,ordinary,generation-i,nothing,grass,poison,45,49,49,65,65,45,318,7,69,overgrow chlorophyll ,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,ivysaur,ordinary,generation-i,bulbasaur,grass,poison,60,62,63,80,80,60,405,10,130,overgrow chlorophyll ,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,venusaur,ordinary,generation-i,ivysaur,grass,poison,80,82,83,100,100,80,525,20,1000,overgrow chlorophyll ,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,charmander,ordinary,generation-i,nothing,fire,None,39,52,43,60,50,65,309,6,85,blaze solar-power ,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,charmeleon,ordinary,generation-i,charmander,fire,None,58,64,58,80,65,80,405,11,190,blaze solar-power ,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,charizard,ordinary,generation-i,charmeleon,fire,flying,78,84,78,109,85,100,534,17,905,blaze solar-power ,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,squirtle,ordinary,generation-i,nothing,water,None,44,48,65,50,64,43,314,5,90,torrent rain-dish ,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,wartortle,ordinary,generation-i,squirtle,water,None,59,63,80,65,80,58,405,10,225,torrent rain-dish ,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,blastoise,ordinary,generation-i,wartortle,water,None,79,83,100,85,105,78,530,16,855,torrent rain-dish ,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,caterpie,ordinary,generation-i,nothing,bug,None,45,30,35,20,20,45,195,3,29,shield-dust run-away ,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,metapod,ordinary,generation-i,caterpie,bug,None,50,20,55,25,25,30,205,7,99,shed-skin ,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,butterfree,ordinary,generation-i,metapod,bug,flying,60,45,50,90,80,70,395,11,320,compound-eyes tinted-lens ,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,weedle,ordinary,generation-i,nothing,bug,poison,40,35,30,20,20,50,195,3,32,shield-dust run-away ,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
