index,name,parameter,power
1,bulbasaur,atk,49
2,ivysaur,atk,62
3,venusaur,atk,82
4,charmander,atk,52
5,charmeleon,atk,64
6,charizard,atk,84
7,squirtle,atk,48
8,wartortle,atk,63
9,blastoise,atk,83
10,caterpie,atk,30
11,metapod,atk,20
12,butterfree,atk,45
13,weedle,atk,35
14,kakuna,atk,25
15,beedrill,atk,90
16,pidgey,atk,45
17,pidgeotto,atk,60
18,pidgeot,atk,80
19,rattata,atk,56
20,raticate,atk,81
21,spearow,atk,60
22,fearow,atk,90
23,ekans,atk,60
24,arbok,atk,95
25,pikachu,atk,55
26,raichu,atk,90
27,sandshrew,atk,75
28,sandslash,atk,100
29,nidoranf,atk,47
30,nidorina,atk,62
31,nidoqueen,atk,92
32,nidoranm,atk,57
33,nidorino,atk,72
34,nidoking,atk,102
35,clefairy,atk,45
36,clefable,atk,70
37,vulpix,atk,41
38,ninetales,atk,76
39,jigglypuff,atk,45
40,wigglytuff,atk,70
41,zubat,atk,45
42,golbat,atk,80
43,oddish,atk,50
44,gloom,atk,65
45,vileplume,atk,80
46,paras,atk,70
47,parasect,atk,95
48,venonat,atk,55
49,venomoth,atk,65
50,diglett,atk,55
51,dugtrio,atk,100
52,meowth,atk,45
53,persian,atk,70
54,psyduck,atk,52
55,golduck,atk,82
56,mankey,atk,80
57,primeape,atk,105
58,growlithe,atk,70
59,arcanine,atk,110
60,poliwag,atk,50
61,poliwhirl,atk,65
62,poliwrath,atk,95
63,abra,atk,20
64,kadabra,atk,35
65,alakazam,atk,50
66,machop,atk,80
67,machoke,atk,100
68,machamp,atk,130
69,bellsprout,atk,75
70,weepinbell,atk,90
71,victreebel,atk,105
72,tentacool,atk,40
73,tentacruel,atk,70
74,geodude,atk,80
75,graveler,atk,95
76,golem,atk,120
77,ponyta,atk,85
78,rapidash,atk,100
79,slowpoke,atk,65
80,slowbro,atk,75
81,magnemite,atk,35
82,magneton,atk,60
83,farfetchd,atk,90
84,doduo,atk,85
85,dodrio,atk,110
86,seel,atk,45
87,dewgong,atk,70
88,grimer,atk,80
89,muk,atk,105
90,shellder,atk,65
91,cloyster,atk,95
92,gastly,atk,35
93,haunter,atk,50
94,gengar,atk,65
95,onix,atk,45
96,drowzee,atk,48
97,hypno,atk,73
98,krabby,atk,105
99,kingler,atk,130
100,voltorb,atk,30
101,electrode,atk,50
102,exeggcute,atk,40
103,exeggutor,atk,95
104,cubone,atk,50
105,marowak,atk,80
106,hitmonlee,atk,120
107,hitmonchan,atk,105
108,lickitung,atk,55
109,koffing,atk,65
110,weezing,atk,90
111,rhyhorn,atk,85
112,rhydon,atk,130
113,chansey,atk,5
114,tangela,atk,55
115,kangaskhan,atk,95
116,horsea,atk,40
117,seadra,atk,65
118,goldeen,atk,67
119,seaking,atk,92
120,staryu,atk,45
121,starmie,atk,75
122,mr-mime,atk,45
123,scyther,atk,110
124,jynx,atk,50
125,electabuzz,atk,83
126,magmar,atk,95
127,pinsir,atk,125
128,tauros,atk,100
129,magikarp,atk,10
130,gyarados,atk,125
131,lapras,atk,85
132,ditto,atk,48
133,eevee,atk,55
134,vaporeon,atk,65
135,jolteon,atk,65
136,flareon,atk,130
137,porygon,atk,60
138,omanyte,atk,40
139,omastar,atk,60
140,kabuto,atk,80
141,kabutops,atk,115
142,aerodactyl,atk,105
143,snorlax,atk,110
144,articuno,atk,85
145,zapdos,atk,90
146,moltres,atk,100
147,dratini,atk,64
148,dragonair,atk,84
149,dragonite,atk,134
150,mewtwo,atk,110
151,mew,atk,100
152,chikorita,atk,49
153,bayleef,atk,62
154,meganium,atk,82
155,cyndaquil,atk,52
156,quilava,atk,64
157,typhlosion,atk,84
158,totodile,atk,65
159,croconaw,atk,80
160,feraligatr,atk,105
161,sentret,atk,46
162,furret,atk,76
163,hoothoot,atk,30
164,noctowl,atk,50
165,ledyba,atk,20
166,ledian,atk,35
167,spinarak,atk,60
168,ariados,atk,90
169,crobat,atk,90
170,chinchou,atk,38
171,lanturn,atk,58
172,pichu,atk,40
173,cleffa,atk,25
174,igglybuff,atk,30
175,togepi,atk,20
176,togetic,atk,40
177,natu,atk,50
178,xatu,atk,75
179,mareep,atk,40
180,flaaffy,atk,55
181,ampharos,atk,75
182,bellossom,atk,80
183,marill,atk,20
184,azumarill,atk,50
185,sudowoodo,atk,100
186,politoed,atk,75
187,hoppip,atk,35
188,skiploom,atk,45
189,jumpluff,atk,55
190,aipom,atk,70
191,sunkern,atk,30
192,sunflora,atk,75
193,yanma,atk,65
194,wooper,atk,45
195,quagsire,atk,85
196,espeon,atk,65
197,umbreon,atk,65
198,murkrow,atk,85
199,slowking,atk,75
200,misdreavus,atk,60
201,unown,atk,72
202,wobbuffet,atk,33
203,girafarig,atk,80
204,pineco,atk,65
205,forretress,atk,90
206,dunsparce,atk,70
207,gligar,atk,75
208,steelix,atk,85
209,snubbull,atk,80
210,granbull,atk,120
211,qwilfish,atk,95
212,scizor,atk,130
213,shuckle,atk,10
214,heracross,atk,125
215,sneasel,atk,95
216,teddiursa,atk,80
217,ursaring,atk,130
218,slugma,atk,40
219,magcargo,atk,50
220,swinub,atk,50
221,piloswine,atk,100
222,corsola,atk,55
223,remoraid,atk,65
224,octillery,atk,105
225,delibird,atk,55
226,mantine,atk,40
227,skarmory,atk,80
228,houndour,atk,60
229,houndoom,atk,90
230,kingdra,atk,95
231,phanpy,atk,60
232,donphan,atk,120
233,porygon2,atk,80
234,stantler,atk,95
235,smeargle,atk,20
236,tyrogue,atk,35
237,hitmontop,atk,95
238,smoochum,atk,30
239,elekid,atk,63
240,magby,atk,75
241,miltank,atk,80
242,blissey,atk,10
243,raikou,atk,85
244,entei,atk,115
245,suicune,atk,75
246,larvitar,atk,64
247,pupitar,atk,84
248,tyranitar,atk,134
249,lugia,atk,90
250,ho-oh,atk,130
251,celebi,atk,100
252,treecko,atk,45
253,grovyle,atk,65
254,sceptile,atk,85
255,torchic,atk,60
256,combusken,atk,85
257,blaziken,atk,120
258,mudkip,atk,70
259,marshtomp,atk,85
260,swampert,atk,110
261,poochyena,atk,55
262,mightyena,atk,90
263,zigzagoon,atk,30
264,linoone,atk,70
265,wurmple,atk,45
266,silcoon,atk,35
267,beautifly,atk,70
268,cascoon,atk,35
269,dustox,atk,50
270,lotad,atk,30
271,lombre,atk,50
272,ludicolo,atk,70
273,seedot,atk,40
274,nuzleaf,atk,70
275,shiftry,atk,100
276,taillow,atk,55
277,swellow,atk,85
278,wingull,atk,30
279,pelipper,atk,50
280,ralts,atk,25
281,kirlia,atk,35
282,gardevoir,atk,65
283,surskit,atk,30
284,masquerain,atk,60
285,shroomish,atk,40
286,breloom,atk,130
287,slakoth,atk,60
288,vigoroth,atk,80
